,,,,,,,,,,,
,AMG Inventory list,,,,,,,,,,
,Highlight items to reorder?,,Yes,,,,,,,,
,,,,,,,,,,,
 ,Inventory ID,Name,Description,Quantity in stock,Reorder level,Expiration Date,Quantity in reorder,Expired?,Location,Manufacturer,Notes
,IN0226,Woman bra style B01G size 36 AA/A ,Garment ,2,,,,,,,
,IN0224,Woman bra Style B01G size 36 B/C ,Garment,4,,,,,,,Original Bra
,IN0225,Woman bra Style B01G size 36 D/E,Garment,3,,,,,,,Original Bra
,IN0231,Woman bra style B01G size 38 AA/A ,Garment,2,,,,,,,
,IN0216,Woman bra style B16 size 36 B/C ,Garment,1,,,,,,,Flex fit ultra-high
,IN0217,Woman bra style B16 size 38 B/C ,Garment,2,,,,,,,Flex fit ultra-high
,IN0218,Woman bra style B16 size 40 AA/A ,Garment,2,,,,,,,Flex fit ultra-high
,IN0219,Woman bra style B16 size 42 B/C,Garment,2,,,,,,,Flex fit ultra-high
,IN0220,Woman bra style B16 size 42 D/E,Garment,2,,,,,,,Flex fit ultra-high
,,Woman bra style B16 size 48 D/E,Garment,1,,,,,,,
,IN0237,Woman Full Body Style FBCL size X-large ,Garment,1,,,,,,,Ankle lenght
,IN0243,Woman full body style FTRS/SM size large ,Garment,2,,,,,,,Short lenght 
,IN0242,Woman full body style FTRS/SM size medium ,Garment,3,,,,,,,Short lenght 
,IN0241,Woman full body style FTRS/SM size small ,Garment,2,,,,,,,Don't reorder
,IN0240,Woman full body style SFBHM size large ,Garment,15,,,,,,,Ankle lenght
,IN0239,Woman full body style SFBHM size medium,Garment,6,,,,,,,Ankle lenght
,IN0238,Woman full body Style SFBHM size Small ,Garment,4,,,,,,,Ankle lenght
,,Woman full body style SFBHM size X-small,,2,,,,,,,
Reorder,IN0237,Woman full body style SFBHM size X-large ,Garment ,0,,,,,,,
,IN0236,Woman thigh style LGL size large ,Garment,1,,,,,,,Ankle -lenght
,IN0233,Woman thigh style LGM size 2x- small ,Garment,1,,,,,,,Calf- length
,IN0234,Woman thigh style LGM size large ,Garment,3,,,,,,,Calf- length
,IN0232,Woman thigh style LGM size medium ,Garment,2,,,,,,,Calf- length
,IN0235,Woman thigh style LGM size X-large ,Garment,2,,,,,,,Calf- length
,IN0212,Wrap 4 inches,,18,,NA,,no,Rooms ,,1 box has 10 + 8 =18
,IN0213,Wrap 6 inches ,,32,,NA,,,Rooms,,
,,"Wrap , Bonded, blue Pink 54x54, GEM2 ",,1,,,,,Each has 50,,
,IN0263,Zbra Medical ,Garment,1,,,,,,,
,IN0126,Silagen clear abdomen sheet,Silagen,21,,6/26/28,,no,Storage Room,,
,IN0127,Silagen SPF30 (30 gram) 1.0 oz ,Silagen,24,,7/17/28,,no,Storage Room,,
,IN0284,silagen cleanser 1.69 fl.oz ,cleanser,30,,11/1/27,,no,Storage Room,,
,IN0285,Silagen Banner,Banner,1,,,,no,Storage Room,,
,IN0286,Silagen SPF30 (TESTER) ,Sample,18,,4/27/28,,no,Storage Room,,
,IN0287,Silagen SPF30 (2gram) 0.07 oz ,sample ,24,,,,,Storage Room,,
,IN0288,Ink for printer in front ,,1,,NA,,no,FT. office ,148A ,
,IN0289,Sientra  tissue Expander Accessories ,Winged Needle infusion set,5,,3/31/26,,no,storage Room ,5 in each box ,
,,"Tape , ID, instr,roll, white 1/8",,1,,,,,,,
,,"Tap, ID, instr, roll, Yellow, 1/8",,1,,,,,,,
,IN0290,Women High-Waist Girdle style LGM small,Garment,2,,,,no,storage Room ,,
,IN0291,Woman High-Waist Girdle style LGM large,Garment,1,,,,no,Storage Room,,
,IN0292,Woman High-Waist Girdle Sstyle LGM X-large,Garment,2,,,,no,storage Room ,,
,IN0293,Woman High-Waist Girdle style LGM medium ,Garment,2,,,,no,Storage Room,,
,IN0294,Woman compression bodysuit for BBL style FBCS medium ,Garment,1,,,,no,Storage Room,,
,IN0295,Woman compression bodysuit for BBL style FBCS large ,Garment,1,,,,no,Storage Room,,
,IN0296,Woman Girdle with Suspenders Calf-lenth Style FBM  medium Garment ,,1,,,,no,Storage Room,,
,IN0297,Woman Girdle with Suspenders Calf-length style FBM large Garment,,1,,,,no,Storage Room,,
,IN0298,Woman flex fit Original bra style B01G 32 B/c ,Garment,2,,,,no,Storage Room,,
,IN0299,Woman flex fit original bra style B01G 32 D/E,Garment,1,,,,no,Storage room,,
,IN0300,Woman Vest with 3/4 length Sleeves style GFVM Large Garment ,,1,,,,no,Storage room,,
,IN0301,Surgical Suture single use procedure kit ,,3,,9/19/28,,no,storage Room ,,
,,"Suture, Monocry;, 4-o,ps-2 18 UNDYED",,1,,,,,12 EA,,
,IN0302,Quill Barbed Suture ,,2,,12/14/29,,no,Storage room ,,
,IN0303,Woman Bodysuit High Back X-large ,Garment,4,,,,no,Storage Room,,
,IN0304,Woman BBL ankle length FBCL small,Garment,1,,,,no,Storage Room,,
,IN0305,Woman BBL ankle length FBCL large,Garment,1,,,,no,Storage Room,,
,IN0306,womanBBL ankle length FBCL medium,Garment,1,,,,no,Storage Room,,
,IN0307,Woman BBL ankle length FBCL X-large,Garment,1,,,,no,Storage Room,,
,IN0308,Woman BBl FBCS size Small,Garment,1,,,,,,,
,IN0309,Woman BBl FBCS  size medium ,Garment,1,,,,,,,
,IN0310,Woman BBL FBCS size large,Garment,2,,,,,,,
